iter	Logloss
0	0.5556169091
1	0.4679751621
2	0.3932521067
3	0.3459264717
4	0.2954831597
5	0.2464192912
6	0.209309018
7	0.1808290658
8	0.162079729
9	0.1461000325
10	0.1322330936
11	0.1230905389
12	0.1169030661
13	0.1129806029
14	0.1086561317
15	0.1046183453
16	0.1007914756
17	0.09689013463
18	0.09307163232
19	0.0871713632
20	0.08467072021
21	0.0817982854
22	0.07897073575
23	0.07715261849
24	0.07466535794
25	0.07239840646
26	0.0715131371
27	0.06898440229
28	0.06740447637
29	0.06538809736
30	0.06408805893
31	0.0631065607
32	0.06124401674
33	0.06103506076
34	0.05987600086
35	0.05896035113
36	0.05846923376
37	0.05582649588
38	0.05494766795
39	0.05410404288
40	0.05311826015
41	0.05253515479
42	0.05206995109
43	0.05161214074
44	0.05017434137
45	0.04800780398
46	0.04690515663
47	0.04573622714
48	0.04391839292
49	0.04288488835
50	0.04190019906
51	0.04105853424
52	0.04039266539
53	0.03946674856
54	0.03891387022
55	0.03815020925
56	0.03754231662
57	0.03708455983
58	0.03636350872
59	0.03538127528
60	0.0346880352
61	0.03372367713
62	0.03339460711
63	0.03271341227
64	0.0325234547
65	0.03241846043
66	0.03147956334
67	0.02985355308
68	0.02942593284
69	0.02935978833
70	0.02892084092
71	0.02886845426
72	0.02880914437
73	0.02841997795
74	0.02832868432
75	0.02806065078
76	0.02760679634
77	0.02730830841
78	0.02709190876
79	0.02696430751
80	0.02688431318
81	0.02681043157
82	0.02648194202
83	0.02578376364
84	0.02538544905
85	0.02531301272
86	0.02478694621
87	0.02472361799
88	0.02451778777
89	0.02446108393
90	0.02390197778
91	0.02338791396
92	0.02315896403
93	0.02289815003
94	0.02186425354
95	0.0218082391
96	0.0217616858
97	0.02134322572
98	0.02089140007
99	0.02059544843
